shipment_id,order_id,warehouse_id,shipping_cost,delivery_time_days,order_status
SHIP-000080,ORD-000080,WH-04,20.78,7.0,Delivered
SHIP-000081,ORD-000081,WH-02,23.0,6.0,Delivered
SHIP-000082,ORD-000082,WH-05,37.89,4.0,Delivered
SHIP-000083,ORD-000083,WH-05,30.02,11.0,Cancelled
SHIP-000084,ORD-000084,WH-05,37.9,10.0,Shipped
SHIP-000085,ORD-000085,WH-01,8.58,6.0,Cancelled
SHIP-000086,ORD-000086,WH-05,14.1,3.0,Delivered
SHIP-000087,ORD-000087,WH-01,45.34,5.0,Shipped
SHIP-000088,ORD-000088,WH-01,31.96,7.0,Cancelled
SHIP-000089,ORD-000089,WH-02,29.14,8.0,Delivered
SHIP-000090,ORD-000090,WH-01,37.89,3.0,Delivered
SHIP-000091,ORD-000091,WH-02,20.6,8.0,Delivered
SHIP-000092,ORD-000092,WH-02,53.93,7.0,Delivered
SHIP-000093,ORD-000093,WH-01,144.2,8.0,Delivered
SHIP-000094,ORD-000094,WH-01,55.18,,Cancelled
SHIP-000095,ORD-000095,WH-01,13.53,2.0,Delivered
SHIP-000096,ORD-000096,WH-03,19.46,6.0,Cancelled
SHIP-000097,ORD-000097,WH-01,34.83,4.0,Delivered
SHIP-000098,ORD-000098,WH-02,12.49,11.0,Cancelled
SHIP-000099,ORD-000099,WH-04,36.45,5.0,Delivered
SHIP-000100,ORD-000100,WH-04,52.15,7.0,Cancelled
SHIP-000101,ORD-000101,WH-05,37.52,6.0,Cancelled
SHIP-000102,ORD-000102,WH-04,23.99,10.0,Shipped
SHIP-000103,ORD-000103,WH-01,31.67,9.0,Delivered
SHIP-000104,ORD-000104,WH-03,12.73,5.0,Delivered
SHIP-000105,ORD-000105,WH-04,21.4,6.0,Shipped
SHIP-000106,ORD-000106,WH-01,38.32,9.0,Delivered
SHIP-000107,ORD-000107,WH-05,43.55,8.0,Delivered
SHIP-000108,ORD-000108,WH-01,22.44,9.0,Delivered
SHIP-000109,ORD-000109,WH-03,116.30000000000001,7.0,Delivered
SHIP-000110,ORD-000110,WH-05,48.48,6.0,Delivered
SHIP-000111,ORD-000111,WH-04,19.58,4.0,Shipped
SHIP-000112,ORD-000112,WH-05,42.15,8.0,Shipped
SHIP-000113,ORD-000113,WH-01,26.09,5.0,Delivered
SHIP-000114,ORD-000114,WH-05,57.92,4.0,Shipped
SHIP-000115,ORD-000115,WH-02,206.70000000000002,4.0,Delivered
SHIP-000116,ORD-000116,WH-04,43.06,7.0,Cancelled
SHIP-000117,ORD-000117,WH-05,14.79,4.0,Cancelled
SHIP-000118,ORD-000118,WH-02,52.68,7.0,Delivered
SHIP-000119,ORD-000119,WH-04,27.44,7.0,Delivered
SHIP-000120,ORD-000120,WH-04,54.3,11.0,Shipped
SHIP-000121,ORD-000121,WH-03,48.93,9.0,Delivered
SHIP-000122,ORD-000122,WH-01,27.3,7.0,Cancelled
SHIP-000123,ORD-000123,WH-05,27.94,6.0,Delivered
SHIP-000124,ORD-000124,WH-01,30.08,5.0,Shipped
SHIP-000125,ORD-000125,WH-01,31.8,7.0,Delivered
SHIP-000126,ORD-000126,WH-04,37.22,7.0,Delivered
SHIP-000127,ORD-000127,WH-01,41.27,2.0,Delivered
SHIP-000128,ORD-000128,WH-03,20.19,6.0,Cancelled
SHIP-000129,ORD-000129,WH-05,47.66,7.0,Shipped
SHIP-000130,ORD-000130,WH-01,32.6,7.0,Delivered
SHIP-000131,ORD-000131,WH-02,50.13,2.0,Delivered
SHIP-000132,ORD-000132,WH-04,55.7,6.0,Delivered
SHIP-000133,ORD-000133,WH-02,47.28,5.0,Shipped
SHIP-000134,ORD-000134,WH-03,26.74,,Shipped
SHIP-000135,ORD-000135,WH-04,15.7,,Delivered
SHIP-000136,ORD-000136,WH-03,35.52,9.0,Cancelled
SHIP-000137,ORD-000137,WH-02,14.33,6.0,Delivered
SHIP-000138,ORD-000138,WH-04,17.57,6.0,Shipped
SHIP-000139,ORD-000139,WH-05,16.05,3.0,Cancelled
SHIP-000140,ORD-000140,WH-02,31.46,9.0,Shipped
SHIP-000141,ORD-000141,WH-05,56.09,2.0,Delivered
SHIP-000142,ORD-000142,WH-05,19.36,9.0,Delivered
SHIP-000143,ORD-000143,WH-05,31.13,9.0,Delivered
SHIP-000144,ORD-000144,WH-02,48.45,7.0,Delivered
SHIP-000145,ORD-000145,WH-03,36.1,6.0,Cancelled
SHIP-000146,ORD-000146,WH-01,20.66,3.0,Cancelled
SHIP-000147,ORD-000147,WH-02,39.02,10.0,Delivered
SHIP-000148,ORD-000148,WH-01,23.28,10.0,Delivered
SHIP-000149,ORD-000149,WH-04,52.21,7.0,Shipped
SHIP-000150,ORD-000150,WH-03,39.92,10.0,Delivered
SHIP-000151,ORD-000151,WH-04,40.05,8.0,Delivered
SHIP-000152,ORD-000152,WH-04,30.17,,Shipped
SHIP-000153,ORD-000153,WH-03,18.51,7.0,Cancelled
SHIP-000154,ORD-000154,WH-03,29.41,7.0,Delivered
SHIP-000155,ORD-000155,WH-03,12.63,5.0,Delivered
SHIP-000156,ORD-000156,WH-04,24.96,7.0,Delivered
SHIP-000157,ORD-000157,WH-03,45.84,7.0,Delivered
SHIP-000158,ORD-000158,WH-03,54.96,4.0,Delivered
SHIP-000159,ORD-000159,WH-05,13.34,28.0,Shipped
SHIP-000160,ORD-000160,WH-05,19.45,2.0,Cancelled
SHIP-000161,ORD-000161,WH-05,48.77,10.0,Cancelled
SHIP-000162,ORD-000162,WH-03,40.73,9.0,Delivered
SHIP-000163,ORD-000163,WH-04,37.76,9.0,Delivered
SHIP-000164,ORD-000164,WH-05,75.9,5.0,Delivered
SHIP-000165,ORD-000165,WH-05,33.78,7.0,Delivered
SHIP-000166,ORD-000166,WH-03,16.5,4.0,Cancelled
SHIP-000167,ORD-000167,WH-04,17.34,8.0,Delivered
SHIP-000168,ORD-000168,WH-01,49.11,7.0,Delivered
SHIP-000169,ORD-000169,WH-05,26.7,12.0,Delivered
SHIP-000170,ORD-000170,WH-03,26.4,4.0,Delivered
SHIP-000171,ORD-000171,WH-03,17.15,7.0,Delivered
SHIP-000172,ORD-000172,WH-04,28.09,6.0,Delivered
SHIP-000173,ORD-000173,WH-04,22.97,6.0,Delivered
SHIP-000174,ORD-000174,WH-04,32.76,7.0,Shipped
SHIP-000175,ORD-000175,WH-02,43.76,5.0,Delivered
SHIP-000176,ORD-000176,WH-02,16.29,31.0,Shipped
SHIP-000177,ORD-000177,WH-02,50.29,5.0,Delivered
SHIP-000178,ORD-000178,WH-05,47.48,7.0,Cancelled
SHIP-000179,ORD-000179,WH-05,30.97,8.0,Shipped
SHIP-000180,ORD-000180,WH-03,22.09,4.0,Delivered
SHIP-000181,ORD-000181,WH-02,44.58,8.0,Shipped
SHIP-000182,ORD-000182,WH-04,34.51,8.0,Delivered
SHIP-000183,ORD-000183,WH-02,132.79999999999998,7.0,Cancelled
SHIP-000184,ORD-000184,WH-02,23.84,,Delivered
SHIP-000185,ORD-000185,WH-03,53.36,9.0,Delivered
SHIP-000186,ORD-000186,WH-01,10.41,2.0,Delivered
SHIP-000187,ORD-000187,WH-05,22.36,7.0,Delivered
SHIP-000188,ORD-000188,WH-02,36.14,5.0,Cancelled
SHIP-000189,ORD-000189,WH-01,33.82,7.0,Cancelled
SHIP-000190,ORD-000190,WH-03,20.66,8.0,Shipped
SHIP-000191,ORD-000191,WH-01,14.56,,Cancelled
SHIP-000192,ORD-000192,WH-01,219.3,7.0,Delivered
SHIP-000193,ORD-000193,WH-02,21.7,3.0,Delivered
SHIP-000194,ORD-000194,WH-02,22.13,,Delivered
SHIP-000195,ORD-000195,WH-01,21.72,6.0,Delivered
SHIP-000196,ORD-000196,WH-03,35.12,8.0,Shipped
SHIP-000197,ORD-000197,WH-03,30.41,7.0,Delivered
SHIP-000198,ORD-000198,WH-01,30.08,6.0,Delivered
SHIP-000199,ORD-000199,WH-01,47.24,3.0,Delivered
SHIP-000200,ORD-000200,WH-02,39.35,7.0,Shipped
SHIP-000201,ORD-000201,WH-04,39.38,2.0,Shipped
SHIP-000202,ORD-000202,WH-04,19.06,4.0,Delivered
SHIP-000203,ORD-000203,WH-04,46.87,6.0,Delivered
SHIP-000204,ORD-000204,WH-03,42.15,5.0,Delivered
SHIP-000205,ORD-000205,WH-03,221.55,6.0,Delivered
SHIP-000206,ORD-000206,WH-03,21.02,5.0,Delivered
SHIP-000207,ORD-000207,WH-04,48.18,6.0,Delivered
SHIP-000208,ORD-000208,WH-05,12.87,,Delivered
SHIP-000209,ORD-000209,WH-04,46.86,2.0,Delivered
SHIP-000210,ORD-000210,WH-03,42.26,7.0,Cancelled
SHIP-000211,ORD-000211,WH-01,30.43,7.0,Cancelled
SHIP-000212,ORD-000212,WH-03,39.52,6.0,Shipped
SHIP-000213,ORD-000213,WH-01,49.47,4.0,Delivered
SHIP-000214,ORD-000214,WH-05,44.26,3.0,Delivered
SHIP-000215,ORD-000215,WH-02,43.4,5.0,Shipped
SHIP-000216,ORD-000216,WH-04,37.53,9.0,Shipped
SHIP-000217,ORD-000217,WH-02,24.26,7.0,Cancelled
SHIP-000218,ORD-000218,WH-02,37.71,4.0,Cancelled
SHIP-000219,ORD-000219,WH-02,19.08,10.0,Delivered
SHIP-000220,ORD-000220,WH-04,25.45,7.0,Delivered
SHIP-000221,ORD-000221,WH-01,22.75,5.0,Delivered
SHIP-000222,ORD-000222,WH-02,19.75,11.0,Delivered
SHIP-000223,ORD-000223,WH-05,45.62,5.0,Shipped
SHIP-000224,ORD-000224,WH-05,18.56,5.0,Shipped
SHIP-000225,ORD-000225,WH-05,52.69,9.0,Delivered
SHIP-000226,ORD-000226,WH-01,29.82,6.0,Delivered
SHIP-000227,ORD-000227,WH-05,30.36,6.0,Shipped
SHIP-000228,ORD-000228,WH-03,16.59,5.0,Shipped
SHIP-000229,ORD-000229,WH-04,222.5,2.0,Delivered
SHIP-000230,ORD-000230,WH-03,43.18,4.0,Delivered
SHIP-000231,ORD-000231,WH-02,39.83,4.0,Delivered
SHIP-000232,ORD-000232,WH-04,32.7,7.0,Delivered
SHIP-000233,ORD-000233,WH-01,17.92,6.0,Delivered
SHIP-000234,ORD-000234,WH-03,110.75,4.0,Delivered
SHIP-000235,ORD-000235,WH-01,41.48,4.0,Delivered
SHIP-000236,ORD-000236,WH-05,15.49,2.0,Delivered
SHIP-000237,ORD-000237,WH-02,50.48,8.0,Delivered
SHIP-000238,ORD-000238,WH-01,48.47,5.0,Delivered
SHIP-000239,ORD-000239,WH-05,13.86,5.0,Delivered
SHIP-000240,ORD-000240,WH-04,45.82,9.0,Delivered
SHIP-000241,ORD-000241,WH-03,15.11,8.0,Delivered
SHIP-000242,ORD-000242,WH-03,13.16,8.0,Delivered
SHIP-000243,ORD-000243,WH-04,11.73,5.0,Shipped
SHIP-000244,ORD-000244,WH-02,44.89,,Shipped
SHIP-000245,ORD-000245,WH-05,19.45,9.0,Delivered
SHIP-000246,ORD-000246,WH-02,26.66,9.0,Delivered
SHIP-000247,ORD-000247,WH-01,53.23,9.0,Delivered
SHIP-000248,ORD-000248,WH-01,36.24,27.0,Cancelled
SHIP-000249,ORD-000249,WH-02,52.57,9.0,Cancelled
SHIP-000250,ORD-000250,WH-04,58.27,8.0,Cancelled
SHIP-000251,ORD-000251,WH-02,31.44,5.0,Shipped
SHIP-000252,ORD-000252,WH-02,30.67,10.0,Delivered
SHIP-000253,ORD-000253,WH-01,27.61,7.0,Cancelled
SHIP-000254,ORD-000254,WH-02,7.25,7.0,Delivered
SHIP-000255,ORD-000255,WH-03,22.17,8.0,Delivered
SHIP-000256,ORD-000256,WH-05,26.58,7.0,Cancelled
SHIP-000257,ORD-000257,WH-05,22.05,27.0,Delivered
SHIP-000258,ORD-000258,WH-02,30.52,5.0,Delivered
SHIP-000259,ORD-000259,WH-01,25.59,6.0,Delivered
SHIP-000260,ORD-000260,WH-05,45.23,2.0,Cancelled
SHIP-000261,ORD-000261,WH-04,52.44,9.0,Delivered
SHIP-000262,ORD-000262,WH-01,34.33,7.0,Cancelled
SHIP-000263,ORD-000263,WH-03,31.44,6.0,Delivered
SHIP-000264,ORD-000264,WH-03,196.29999999999998,9.0,Delivered
SHIP-000265,ORD-000265,WH-04,26.62,2.0,Delivered
SHIP-000266,ORD-000266,WH-01,45.31,3.0,Delivered
SHIP-000267,ORD-000267,WH-01,24.47,27.0,Delivered
SHIP-000268,ORD-000268,WH-03,222.7,9.0,Delivered
SHIP-000269,ORD-000269,WH-03,41.14,,Delivered
SHIP-000270,ORD-000270,WH-03,48.94,9.0,Delivered
SHIP-000271,ORD-000271,WH-05,48.09,6.0,Cancelled
SHIP-000272,ORD-000272,WH-02,51.48,4.0,Shipped
SHIP-000273,ORD-000273,WH-04,14.73,9.0,Cancelled
SHIP-000274,ORD-000274,WH-03,30.19,8.0,Delivered
SHIP-000275,ORD-000275,WH-03,44.59,22.0,Cancelled
SHIP-000276,ORD-000276,WH-01,48.79,2.0,Delivered
SHIP-000277,ORD-000277,WH-01,24.42,12.0,Delivered
SHIP-000278,ORD-000278,WH-03,18.45,3.0,Delivered
SHIP-000279,ORD-000279,WH-02,14.79,5.0,Cancelled
SHIP-000280,ORD-000280,WH-01,34.62,8.0,Cancelled
SHIP-000281,ORD-000281,WH-05,49.91,4.0,Delivered
SHIP-000282,ORD-000282,WH-03,43.85,,Delivered
SHIP-000283,ORD-000283,WH-04,29.81,9.0,Delivered
SHIP-000284,ORD-000284,WH-03,24.19,11.0,Delivered
SHIP-000285,ORD-000285,WH-03,6.14,9.0,Cancelled
SHIP-000286,ORD-000286,WH-04,30.4,2.0,Delivered
SHIP-000287,ORD-000287,WH-03,15.61,3.0,Cancelled
SHIP-000288,ORD-000288,WH-03,37.15,,Cancelled
SHIP-000289,ORD-000289,WH-05,43.64,10.0,Delivered
SHIP-000290,ORD-000290,WH-05,21.22,8.0,Delivered
SHIP-000291,ORD-000291,WH-01,40.47,9.0,Cancelled
SHIP-000292,ORD-000292,WH-01,15.63,10.0,Delivered
SHIP-000293,ORD-000293,WH-02,47.14,5.0,Delivered
SHIP-000294,ORD-000294,WH-03,48.86,8.0,Delivered
SHIP-000295,ORD-000295,WH-01,26.29,8.0,Cancelled
SHIP-000296,ORD-000296,WH-05,20.47,9.0,Delivered
SHIP-000297,ORD-000297,WH-01,41.46,6.0,Cancelled
SHIP-000298,ORD-000298,WH-03,23.24,,Delivered
SHIP-000299,ORD-000299,WH-01,36.46,10.0,Delivered
SHIP-000300,ORD-000300,WH-05,28.73,7.0,Shipped
SHIP-000301,ORD-000301,WH-04,7.81,5.0,Cancelled
SHIP-000302,ORD-000302,WH-01,39.99,5.0,Delivered
SHIP-000303,ORD-000303,WH-04,47.38,7.0,Delivered
SHIP-000304,ORD-000304,WH-01,34.3,5.0,Cancelled
SHIP-000305,ORD-000305,WH-04,38.95,4.0,Cancelled
SHIP-000306,ORD-000306,WH-04,46.78,5.0,Delivered
SHIP-000307,ORD-000307,WH-04,35.09,10.0,Delivered
SHIP-000308,ORD-000308,WH-03,14.82,9.0,Cancelled
SHIP-000309,ORD-000309,WH-02,29.25,5.0,Shipped
SHIP-000310,ORD-000310,WH-04,29.28,8.0,Delivered
SHIP-000311,ORD-000311,WH-02,14.78,9.0,Delivered
SHIP-000312,ORD-000312,WH-02,35.52,7.0,Delivered
SHIP-000313,ORD-000313,WH-05,44.39,28.0,Delivered
SHIP-000314,ORD-000314,WH-03,36.73,5.0,Shipped
SHIP-000315,ORD-000315,WH-02,7.67,8.0,Cancelled
SHIP-000316,ORD-000316,WH-02,42.86,9.0,Delivered
SHIP-000317,ORD-000317,WH-01,45.1,26.0,Shipped
SHIP-000318,ORD-000318,WH-01,33.26,8.0,Delivered
SHIP-000319,ORD-000319,WH-01,56.99,5.0,Shipped
SHIP-000320,ORD-000320,WH-04,39.34,27.0,Delivered
SHIP-000321,ORD-000321,WH-05,41.7,9.0,Shipped
SHIP-000322,ORD-000322,WH-02,35.58,5.0,Delivered
SHIP-000323,ORD-000323,WH-02,23.7,3.0,Delivered
SHIP-000324,ORD-000324,WH-03,27.58,7.0,Delivered
SHIP-000325,ORD-000325,WH-02,25.25,4.0,Delivered
SHIP-000326,ORD-000326,WH-01,21.66,6.0,Delivered
SHIP-000327,ORD-000327,WH-03,44.07,5.0,Cancelled
SHIP-000328,ORD-000328,WH-05,34.68,5.0,Shipped
SHIP-000329,ORD-000329,WH-03,43.51,10.0,Cancelled
SHIP-000330,ORD-000330,WH-03,11.34,6.0,Shipped
SHIP-000331,ORD-000331,WH-05,18.58,5.0,Cancelled
SHIP-000332,ORD-000332,WH-01,33.02,5.0,Delivered
SHIP-000333,ORD-000333,WH-03,38.0,26.0,Delivered
SHIP-000334,ORD-000334,WH-03,43.13,3.0,Delivered
SHIP-000335,ORD-000335,WH-05,260.79999999999995,2.0,Cancelled
SHIP-000336,ORD-000336,WH-03,10.27,8.0,Delivered
SHIP-000337,ORD-000337,WH-03,37.34,6.0,Delivered
SHIP-000338,ORD-000338,WH-01,231.14999999999998,3.0,Cancelled
SHIP-000339,ORD-000339,WH-04,50.14,10.0,Delivered
SHIP-000340,ORD-000340,WH-02,25.11,10.0,Delivered
SHIP-000341,ORD-000341,WH-04,39.56,8.0,Shipped
SHIP-000342,ORD-000342,WH-05,23.0,2.0,Cancelled
SHIP-000343,ORD-000343,WH-04,46.550000000000004,24.0,Delivered
SHIP-000344,ORD-000344,WH-03,24.91,6.0,Delivered
SHIP-000345,ORD-000345,WH-03,27.51,7.0,Cancelled
SHIP-000346,ORD-000346,WH-02,15.13,6.0,Delivered
SHIP-000347,ORD-000347,WH-02,46.62,22.0,Delivered
SHIP-000348,ORD-000348,WH-05,17.24,3.0,Cancelled
SHIP-000349,ORD-000349,WH-01,45.17,12.0,Shipped
SHIP-000350,ORD-000350,WH-04,33.44,8.0,Delivered
SHIP-000351,ORD-000351,WH-01,16.17,4.0,Delivered
SHIP-000352,ORD-000352,WH-03,40.35,10.0,Delivered
SHIP-000353,ORD-000353,WH-04,16.44,6.0,Cancelled
SHIP-000354,ORD-000354,WH-02,49.34,4.0,Delivered
SHIP-000355,ORD-000355,WH-05,6.5,7.0,Delivered
SHIP-000356,ORD-000356,WH-05,37.91,3.0,Delivered
SHIP-000357,ORD-000357,WH-04,47.44,11.0,Shipped
SHIP-000358,ORD-000358,WH-04,35.18,5.0,Delivered
SHIP-000359,ORD-000359,WH-04,13.23,4.0,Delivered
SHIP-000360,ORD-000360,WH-05,27.56,3.0,Delivered
SHIP-000361,ORD-000361,WH-03,44.92,6.0,Delivered
SHIP-000362,ORD-000362,WH-05,43.36,4.0,Shipped
SHIP-000363,ORD-000363,WH-05,28.7,7.0,Delivered
SHIP-000364,ORD-000364,WH-04,55.59,8.0,Cancelled
SHIP-000365,ORD-000365,WH-03,42.92,6.0,Delivered
SHIP-000366,ORD-000366,WH-05,15.61,4.0,Delivered
SHIP-000367,ORD-000367,WH-05,15.07,7.0,Shipped
SHIP-000368,ORD-000368,WH-01,54.67,5.0,Delivered
SHIP-000369,ORD-000369,WH-04,18.33,12.0,Cancelled
SHIP-000370,ORD-000370,WH-05,34.56,8.0,Delivered
SHIP-000371,ORD-000371,WH-01,52.56,7.0,Delivered
SHIP-000372,ORD-000372,WH-02,36.27,12.0,Shipped
SHIP-000373,ORD-000373,WH-04,21.31,6.0,Shipped
SHIP-000374,ORD-000374,WH-02,18.84,7.0,Shipped
SHIP-000375,ORD-000375,WH-05,37.3,2.0,Delivered
SHIP-000376,ORD-000376,WH-01,46.98,10.0,Cancelled
SHIP-000377,ORD-000377,WH-04,20.85,8.0,Delivered
SHIP-000378,ORD-000378,WH-01,21.1,7.0,Cancelled
SHIP-000379,ORD-000379,WH-03,17.58,10.0,Delivered
SHIP-000380,ORD-000380,WH-02,36.98,9.0,Shipped
SHIP-000381,ORD-000381,WH-05,33.1,9.0,Delivered
SHIP-000382,ORD-000382,WH-05,22.22,8.0,Shipped
SHIP-000383,ORD-000383,WH-05,47.49,7.0,Delivered
SHIP-000384,ORD-000384,WH-01,23.26,6.0,Delivered
SHIP-000385,ORD-000385,WH-01,27.34,9.0,Delivered
SHIP-000386,ORD-000386,WH-02,47.28,5.0,Delivered
SHIP-000387,ORD-000387,WH-02,50.89,2.0,Delivered
SHIP-000388,ORD-000388,WH-02,36.38,3.0,Delivered
SHIP-000389,ORD-000389,WH-01,45.64,4.0,Delivered
SHIP-000390,ORD-000390,WH-03,41.1,8.0,Delivered
SHIP-000391,ORD-000391,WH-02,55.81,12.0,Delivered
SHIP-000392,ORD-000392,WH-03,29.35,10.0,Cancelled
SHIP-000393,ORD-000393,WH-04,38.41,9.0,Delivered
SHIP-000394,ORD-000394,WH-05,22.81,9.0,Shipped
SHIP-000395,ORD-000395,WH-01,8.02,11.0,Delivered
SHIP-000396,ORD-000396,WH-03,14.09,7.0,Cancelled
SHIP-000397,ORD-000397,WH-03,26.37,8.0,Cancelled
SHIP-000398,ORD-000398,WH-03,13.03,7.0,Delivered
SHIP-000399,ORD-000399,WH-04,14.15,7.0,Delivered
SHIP-000400,ORD-000400,WH-04,41.06,8.0,Delivered
SHIP-000401,ORD-000401,WH-03,36.82,9.0,Delivered
SHIP-000402,ORD-000402,WH-04,41.47,9.0,Cancelled
SHIP-000403,ORD-000403,WH-04,27.89,5.0,Cancelled
SHIP-000404,ORD-000404,WH-03,44.63,8.0,Cancelled
SHIP-000405,ORD-000405,WH-04,27.54,7.0,Delivered
SHIP-000406,ORD-000406,WH-03,55.96,8.0,Shipped
SHIP-000407,ORD-000407,WH-02,49.88,8.0,Delivered
SHIP-000408,ORD-000408,WH-05,37.82,11.0,Shipped
SHIP-000409,ORD-000409,WH-01,40.55,10.0,Shipped
SHIP-000410,ORD-000410,WH-02,14.93,6.0,Delivered
SHIP-000411,ORD-000411,WH-02,15.12,11.0,Cancelled
SHIP-000412,ORD-000412,WH-05,73.75,8.0,Delivered
SHIP-000413,ORD-000413,WH-01,52.71,6.0,Delivered
SHIP-000414,ORD-000414,WH-03,14.71,9.0,Cancelled
SHIP-000415,ORD-000415,WH-03,22.66,7.0,Delivered
SHIP-000416,ORD-000416,WH-04,15.18,12.0,Cancelled
SHIP-000417,ORD-000417,WH-04,42.62,2.0,Delivered
SHIP-000418,ORD-000418,WH-02,10.1,6.0,Shipped
SHIP-000419,ORD-000419,WH-01,18.56,7.0,Cancelled
SHIP-000420,ORD-000420,WH-04,38.61,5.0,Delivered
