route_id,origin,destination,distance_km,current_cost,shipment_weight_kg
R046,Rotterdam,Sao Paulo,7959,5733.8868714236,3970.610008338821
R047,Hamburg,Los Angeles,7109,2002.586925677117,969.1113472331427
R048,Shanghai,Dubai,3792,2236.0472979649094,4931.785395330506
R049,Tokyo,Los Angeles,5072,7154.326353403834,2834.7712570673243
R050,Rotterdam,Los Angeles,11524,3678.782070698356,4112.840518691051
R051,Rotterdam,New York,9970,4088.0965083411315,2918.280213220653
R052,Mumbai,New York,10070,3755.19581232548,3818.755616493868
R053,Shanghai,Dubai,11146,4440.856854862507,1133.8565917090993
R054,Shanghai,Singapore,5572,7446.49835694265,2130.772546024849
R055,Mumbai,New York,7588,4848.628935644282,4889.935920572403
R056,Shanghai,Los Angeles,6243,4195.056804225655,884.0735063538973
R057,Rotterdam,Los Angeles,6422,5370.002612580285,801.8441482479236
R058,Mumbai,Dubai,2951,7337.352881364639,1423.1283821690322
R059,Rotterdam,Los Angeles,6524,3955.2186583611006,4264.541659815498
R060,Mumbai,New York,2768,6540.929508517569,2539.7997563661243
R061,Hamburg,Singapore,7232,4104.959895689619,3018.3814908869804
R062,Tokyo,Los Angeles,5335,7101.606536587862,4757.519579601348
R063,Hamburg,New York,8305,4156.772112137627,614.2386004715519
R064,Tokyo,New York,5462,5783.005622415983,621.9319662656757
R065,Mumbai,Dubai,10519,2176.70578289973,4099.622384179353
R066,Mumbai,Dubai,9776,5118.6903010918795,3743.6589333972797
R067,Mumbai,Dubai,6547,7638.663216252277,1134.868319499711
R068,Hamburg,New York,10966,6283.379985774015,4316.576429600976
R069,Rotterdam,Dubai,3308,4239.259578851237,4517.022699846387
R070,Rotterdam,Singapore,5594,3186.2523173034015,2208.6158367527014
R071,Tokyo,Singapore,2804,4161.175739243063,2984.212313833911
R072,Hamburg,Sao Paulo,9083,2926.8184130262316,4885.462693394915
R073,Tokyo,Los Angeles,4679,7904.887529571275,2619.794537122165
R074,Shanghai,New York,5186,4830.974763232491,3837.5912490289948
R075,Hamburg,Sao Paulo,3304,3176.2699553158145,1127.1023333277085
R076,Mumbai,Singapore,8809,4916.986184967458,1272.5567863173658
R077,Rotterdam,Dubai,8981,7442.942242643244,1029.879873005635
R078,Tokyo,Los Angeles,9184,4134.112572179976,2738.5920229095077
R079,Tokyo,Sao Paulo,10041,2410.1205012929186,1686.5771118557739
R080,Mumbai,New York,8136,4712.7800258987645,3079.824701807303
R081,Shanghai,New York,5028,3990.4004336217336,2835.129673772769
R082,Hamburg,Singapore,7941,6297.218506771408,872.5940056630691
R083,Tokyo,Dubai,6124,4030.4214912728476,1799.1218154681494
R084,Tokyo,Los Angeles,10378,3431.2911515506376,3048.8208813360375
R085,Hamburg,Sao Paulo,9479,2897.1124608399186,640.324107775781
R086,Tokyo,Dubai,3762,6969.942792015282,4308.835321915508
R087,Mumbai,Sao Paulo,8122,3672.5852903102455,3969.1049168561985
R088,Rotterdam,Los Angeles,4343,6233.226915323422,2729.710922927893
R089,Mumbai,New York,9970,6824.165064882298,4097.371455360407
R090,Tokyo,Dubai,5549,1534.1498206295018,963.9218570618519
R091,Rotterdam,Singapore,6090,7753.642107466765,4055.0610145633523
R092,Shanghai,Los Angeles,9982,2063.5838771041936,4811.768568517687
R093,Mumbai,Sao Paulo,3750,6206.671640275401,3367.5421090526906
R094,Shanghai,New York,7387,2937.8613718274146,4944.506035984911
R095,Rotterdam,New York,10238,1787.075345115651,3147.1869063646895
R096,Shanghai,New York,9124,4575.865767528667,1907.8468542751439
R097,Rotterdam,Los Angeles,10007,7811.87859357489,4749.199201010452
R098,Hamburg,Singapore,11126,4458.433952735015,2850.95559232026
R099,Shanghai,Dubai,4667,2283.6847575523125,846.2894073314412
